id,item_sub_type,item_option_id,ratio
1,Weapon,2016000001,10
2,Weapon,2016000002,10
3,Weapon,2016000003,10
4,Weapon,2016000004,10
5,Weapon,2016000005,10
6,Weapon,2016000006,10
7,Weapon,2066000001,10
8,Weapon,2066000002,10
9,Weapon,2066000003,10
10,Weapon,2066000004,10
11,Weapon,2066000005,10
12,Weapon,2066000006,10
13,Weapon,2066000007,10
14,Weapon,2066000008,10
15,Weapon,2066000009,10
16,Weapon,2066000010,10
17,Weapon,2066000011,10
18,Weapon,2066000012,10
19,Weapon,2066000013,10
20,Weapon,2066000014,10
21,Weapon,2066000015,10
22,Weapon,2066000016,10
23,Weapon,2066000017,10
24,Weapon,2066000018,10
25,Weapon,2066000019,10
26,Weapon,2066000020,10
27,Weapon,2066000021,10
28,Weapon,2066000022,10
29,Weapon,2066000023,10
30,Weapon,2066000024,10
31,Weapon,2066000025,10
32,Necklace,2046000001,10
33,Necklace,2046000002,10
34,Necklace,2046000003,10
35,Necklace,2046000004,10
36,Necklace,2046000005,10
37,Necklace,2066000001,10
38,Necklace,2066000002,10
39,Necklace,2066000003,10
40,Necklace,2066000004,10
41,Necklace,2066000005,10
42,Necklace,2066000006,10
43,Necklace,2066000007,10
44,Necklace,2066000008,10
45,Necklace,2066000009,10
46,Necklace,2066000010,10
47,Necklace,2066000011,10
48,Necklace,2066000012,10
49,Necklace,2066000013,10
50,Necklace,2066000014,10
51,Necklace,2066000015,10
52,Necklace,2066000016,10
53,Necklace,2066000017,10
54,Necklace,2066000018,10
55,Necklace,2066000019,10
56,Necklace,2066000020,10
57,Necklace,2066000021,10
58,Necklace,2066000022,10
59,Necklace,2066000023,10
60,Necklace,2066000024,10
61,Necklace,2066000025,10
62,Ring,2056000001,10
63,Ring,2056000002,10
64,Ring,2056000003,10
65,Ring,2056000004,10
66,Ring,2056000005,10
67,Ring,2056000006,10
68,Ring,2056000007,10
69,Ring,2066000001,10
70,Ring,2066000002,10
71,Ring,2066000003,10
72,Ring,2066000004,10
73,Ring,2066000005,10
74,Ring,2066000006,10
75,Ring,2066000007,10
76,Ring,2066000008,10
77,Ring,2066000009,10
78,Ring,2066000010,10
79,Ring,2066000011,10
80,Ring,2066000012,10
81,Ring,2066000013,10
82,Ring,2066000014,10
83,Ring,2066000015,10
84,Ring,2066000016,10
85,Ring,2066000017,10
86,Ring,2066000018,10
87,Ring,2066000019,10
88,Ring,2066000020,10
89,Ring,2066000021,10
90,Ring,2066000022,10
91,Ring,2066000023,10
92,Ring,2066000024,10
93,Ring,2066000025,10
